name,newname
GlomusclonePa001_AY236228_1,seqqq298
GlomusclonePa021_AY236236_1,seqqq299
GlomusclonePa020_AY236235_1,seqqq300
GlomusclonePa089_AY236267_1,seqqq301
GlomusclonePa008_AY236229_1,seqqq302
GlomusclonePa070_AY236262_1,seqqq303
GlomusclonePa057_AY236257_1,seqqq304
GlomusclonePa022_AY236237_1,seqqq305
G_sp11_07_1_1,seqqq306
G_sp11_07_1_39,seqqq307
G_sp11_07_1_7,seqqq308
G_sp_08_6_3,seqqq309
G_sp21_07_10_1,seqqq310
GlomusclonePa079_AY236265_1,seqqq311
GlomusclonePa010_AY236230_1,seqqq312
G_sp3_B21_26__G_sp3,seqqq313
G_sp11_n19_2,seqqq314
G_sp6_B21_17__G_sp6,seqqq315
G_sp8_B21_27__G_sp8,seqqq316
G_sp3_B21_16_G_sp3,seqqq317
GlomuscloneBV_clone02a2_EF393597_1,seqqq318
GlomuscloneBV_clone02a35_EF393599_1,seqqq319
GlomuscloneBV_clone02a5_EF393598_1,seqqq320
GlomusclonePa105_AY236275_1,seqqq321
GlomusclonePa103_AY236274_1,seqqq322
GlomuscloneBV_clone27a1_EF393596_1,seqqq323
GlomusclonePa054_AY236255_1,seqqq324
GlomusclonePa053_AY236254_1,seqqq325
GlomusclonePa045_AY236252_1,seqqq326
GlomusclonePa049_AY236253_1,seqqq327
GlomuscloneBV_clone02a24_EF393601_1,seqqq328
GlomuscloneBV_clone02a10_EF393600_1,seqqq329
GlomusclonePa071_AY236263_1,seqqq330
GlomusclonePa029_AY236241_1,seqqq331
GlomusclonePa028_AY236240_1,seqqq332
GlomusclonePa056_AY236256_1,seqqq333
GlomusclonePa102_AY236273_1,seqqq334
GlomusclonePa090_AY236268_1,seqqq335
G_sp_08_62_3,seqqq336
G_sp_rp2_08_48_42,seqqq337
G_intraradices_08_34_8,seqqq338
G_intraradices_08_48_11,seqqq339
G_sp_08_48_9,seqqq340
G_intraradices__08_48_29,seqqq341
G_intraradices_08_7_3,seqqq342
G_intraradices_08_6_11,seqqq343
G_intraradices__S08_13_18,seqqq344
G_sp_08_34_1,seqqq345
G_sp_08_34_5,seqqq346
G_sp_rp2_08_25_1,seqqq347
G_sp_08_62_6,seqqq348
G_viscosum_08_48_6,seqqq349
G_sp8_B21_11__G_sp8,seqqq350
G_sp11_N3_5,seqqq351
G_sp2_B21_3_G_sp2,seqqq352
G_sp7_B21_28__G_sp7,seqqq353
G_sp3_B21_2_G_sp3,seqqq354
G_sp8_B21_12__G_sp8,seqqq355
G_sp9_B21_15__G_sp9_G_intra,seqqq356
G_sp8_B21_29__G_sp8,seqqq357
G_sp9_B21_14__G_sp9,seqqq358
G_sp8_B21_13__G_sp8,seqqq359
G_sp_08_7_10,seqqq360
G_sp_08_7_2,seqqq361
G_sp_08_34_9,seqqq362
G_sp11_N3_16,seqqq363
GlomusclonePa120_AY236284_1,seqqq364
GlomusclonePa038_AY236248_1,seqqq365
GlomusclonePa033_AY236244_1,seqqq366
GlomusclonePa019_AY236234_1,seqqq367
GlomusclonePa031_AY236242_1,seqqq368
GlomusclonePa014_AY236232_1,seqqq369
GlomusclonePa012_AY236231_1,seqqq370
